Model,Method,Replicate,RF,FN,FP
1000M4,NJ (p-distance),R9,1061.0,0.26230339928970065,0.2722722722722723
1000M4,FastTree (GTR),R13,126.0,0.024873096446700507,0.03853853853853854
1000M4,FastTree (JC),R13,132.0,0.026395939086294416,0.04004004004004004
1000M4,NJ (JC),R13,1094.0,0.2705583756345178,0.2807807807807808
1000M4,NJ (LogDet),R13,1094.0,0.2705583756345178,0.2807807807807808
1000M4,NJ (p-distance),R13,1094.0,0.2705583756345178,0.2807807807807808
1000M4,FastTree (GTR),R19,130.0,0.027327935222672066,0.03803803803803804
1000M4,FastTree (JC),R19,136.0,0.028846153846153848,0.03953953953953954
1000M4,NJ (JC),R19,1014.0,0.25101214574898784,0.25925925925925924
1000M4,NJ (LogDet),R19,1014.0,0.25101214574898784,0.25925925925925924
1000M4,NJ (p-distance),R19,1014.0,0.25101214574898784,0.25925925925925924
1000M4,FastTree (GTR),R14,150.0,0.032388663967611336,0.043043043043043044
1000M4,FastTree (JC),R14,162.0,0.0354251012145749,0.04604604604604605
1000M4,NJ (JC),R14,1294.0,0.32186234817813764,0.32932932932932935
1000M4,NJ (LogDet),R14,1294.0,0.32186234817813764,0.32932932932932935
1000M4,NJ (p-distance),R14,1294.0,0.32186234817813764,0.32932932932932935
1000M4,FastTree (GTR),R4,120.0,0.023350253807106598,0.037037037037037035
1000M4,FastTree (JC),R4,126.0,0.024873096446700507,0.03853853853853854
1000M4,NJ (JC),R4,1300.0,0.32284263959390863,0.33233233233233234
1000M4,NJ (LogDet),R4,1300.0,0.32284263959390863,0.33233233233233234
1000M4,NJ (p-distance),R4,1300.0,0.32284263959390863,0.33233233233233234
